modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
1.4297240811,A,1.42972,3.4692018e+03,1.1632628e+07,-1.3791456e-05,8.4781861e-05
0.9251965206,A,0.92519,3.2419287e+03,9.5965295e+06,-2.4846030e-05,1.2713085e-04
1.0231795360,A,1.02318,3.3274357e+03,7.1773286e+06,1.3213132e-05,2.6344928e-05
3.4384942235,A,3.43850,3.1456010e+03,6.0059732e+06,-2.0323191e-05,-6.4244877e-05
0.4526727280,A,0.45267,3.4954147e+03,5.0611989e+06,-3.6284006e-05,-2.6000975e-05
2.0364954497,A,2.03650,3.4809217e+03,4.4936708e+06,1.7943294e-05,1.5530490e-04
1.9828209329,A,1.98282,3.5035508e+03,3.5324892e+06,-2.5789421e-05,9.0667526e-05
1.4556507101,A,1.45565,3.2381034e+03,2.6130758e+06,5.2961965e-05,9.2898009e-05
2.0463449470,A,2.04634,3.4691307e+03,2.0170789e+06,1.3963915e-05,9.7650679e-05
3.2412391627,A,3.24123,3.3277423e+03,1.8005392e+06,-7.9768616e-06,1.8067915e-04
4.3914129281,A,4.39141,3.3567391e+03,1.5582737e+06,-4.0920348e-05,5.6773087e-05
1.1884833872,A,1.18849,3.5548603e+03,1.1964822e+06,5.8051957e-06,7.8976766e-05
