modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
1.1751726372,A,1.17517,3.4583364e+03,1.3431486e+07,-3.4661447e-05,2.3529469e-05
0.6122626776,A,0.61226,3.4652147e+03,7.4027502e+06,-4.8586980e-05,-4.5559559e-05
0.5779209675,A,0.57792,3.2187666e+03,5.0763709e+06,-1.7860827e-05,2.3871148e-04
0.7613667380,A,0.76137,3.3654856e+03,1.1796731e+06,-5.7042648e-05,4.3270551e-05
0.6545173104,A,0.65451,3.3602927e+03,8.0847442e+05,-1.2347203e-05,-7.3709399e-05
1.1050622573,A,1.10507,3.3182939e+03,5.3759027e+05,-4.4934204e-05,1.4859137e-05
0.5972286395,A,0.59724,3.3177360e+03,4.5857745e+05,4.1347541e-04,6.2752635e-04
0.4928378701,A,0.49283,3.4174911e+03,4.2428134e+05,-2.2154701e-05,9.8185921e-05
0.5630270272,A,0.56303,2.7200223e+03,4.2299861e+05,-2.1154202e-04,-7.6208519e-04
2.3503379349,A,2.35033,3.3824721e+03,2.5894781e+05,-7.3144408e-05,-1.4558700e-05
0.4137923994,A,0.41379,3.2110368e+03,1.7587552e+05,9.0469647e-05,-3.3868989e-04
1.2453309027,A,1.24534,3.2233327e+03,1.5473383e+05,-6.9643672e-05,-1.5075262e-04
