modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
1.3095585075,A,1.30955,3.5621824e+03,2.1295571e+10,1.4617438e-05,-2.8087738e-05
1.1792530859,A,1.17925,3.5401899e+03,6.4570693e+09,-1.0554442e-05,-2.1048622e-05
1.4365933726,A,1.43660,3.6096223e+03,1.5203930e+09,5.3835149e-05,3.6914362e-05
1.2099286163,A,1.20993,3.2716866e+03,1.0430712e+09,-1.5824516e-04,1.2979093e-04
1.7199556367,A,1.71996,3.5522329e+03,6.3291984e+08,-1.4427097e-05,4.9287388e-05
0.7688380483,A,0.76883,3.2842626e+03,5.6064998e+08,-6.8211630e-06,2.3499281e-04
0.8991699201,A,0.89917,3.3220419e+03,4.0405187e+08,-5.9914520e-06,1.3105927e-04
0.0053700759,A,0.00536,3.1913556e+03,2.4600404e+08,7.7068612e-05,6.3991270e-04
0.0306641469,A,0.03065,2.9657828e+03,1.5386688e+08,3.0659004e-05,7.8457091e-04
1.3231863573,A,1.32317,3.4904597e+03,8.7090422e+07,-9.1115268e-04,8.1472571e-04
47.6601255976,B,1.27897,3.4714206e+03,8.3385856e+07,6.0858569e-04,-1.0533230e-03
1.2959624237,A,1.29598,3.0863179e+03,7.7026774e+07,9.2172214e-04,7.9210419e-04
