modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
4.0100887200,A,4.01008,3.3861105e+03,1.4503859e+09,-1.6304184e-05,1.2931634e-04
3.7336598213,A,3.73366,3.0453700e+03,6.3686584e+08,1.8849480e-05,1.1001594e-03
2.1875842346,A,2.18758,3.4588793e+03,4.0552296e+08,3.6532633e-05,2.7727748e-04
0.2763981592,A,0.27639,3.1845691e+03,2.4844609e+08,4.2418640e-05,-5.6744428e-04
3.9727766122,A,3.97277,3.0032924e+03,2.3123060e+08,-1.5436153e-04,-4.2747164e-04
2.1718994953,A,2.17190,3.4683990e+03,1.5241156e+08,-5.0793309e-05,2.5012720e-04
1.8224439380,A,1.82244,3.0112378e+03,1.3339176e+08,4.9810163e-05,8.8699955e-04
1.8382109367,A,1.83821,3.3241713e+03,8.4555007e+07,5.6127073e-05,6.7772760e-04
1.8958379448,A,1.89583,3.0605758e+03,7.0071154e+07,-3.4589339e-04,-2.4785774e-06
0.0079752301,A,0.00797,3.9278038e+03,6.5146511e+07,2.2202898e-04,9.2931407e-05
0.0234507742,A,0.02345,3.4835076e+03,5.9188558e+07,-2.1437318e-04,7.6919286e-04
0.0375555321,A,0.03757,3.2862089e+03,4.6372242e+07,3.4139490e-04,1.0181459e-03
