Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
1.2108033,A,1.2107901,3.2649770e+03,5.3290964e+04,7.3326259e-05,4.3393516e-04,8.5563973e-02,1.3117787e-01,1.1127045e-01
49.4599192,C,0.5208173,3.4107798e+03,4.3124250e+04,-6.6252570e-05,8.0133970e-04,1.8606054e-01,5.6313270e-02,1.0707815e-01
1.1731350,A,1.1731256,3.2814523e+03,3.5680995e+04,2.0264416e-04,5.3649461e-04,1.0172628e-01,1.1552218e-01,8.9300490e-02
0.9153057,A,0.9153083,3.1845460e+03,2.2422451e+04,-2.4327677e-04,2.3406495e-04,8.3787369e-02,1.5658526e-01,1.4667718e-01
1.1608508,A,1.1608511,3.2037731e+03,1.7330869e+04,-7.0997980e-05,7.4382948e-04,1.5673622e-01,4.6003019e-02,4.5839026e-02
49.4468452,C,0.5078124,3.4611159e+03,1.5083031e+04,-4.1750765e-04,2.1923730e-04,1.9243547e-01,1.9121787e-01,1.9051349e-01
0.5928716,A,0.5928814,3.4318879e+03,1.2278515e+04,1.5920460e-05,1.4174338e-04,4.1708362e-02,1.1913954e-01,1.5351066e-01
0.8664399,A,0.8664280,2.9847252e+03,9.2939378e+03,-1.3556514e-04,1.4948982e-05,1.1478411e-01,2.5612239e-02,1.0337624e-01
0.7426914,A,0.7427016,3.6635513e+03,9.0016536e+03,-1.2251850e-04,-2.6869932e-05,1.5733310e-01,6.5902836e-02,1.3555344e-01
1.0788681,A,1.0788690,3.4469795e+03,9.1634497e+03,4.1759494e-04,-4.7206157e-04,1.8296995e-01,1.1726916e-01,1.2389394e-01
1.0630029,A,1.0630029,3.4070602e+03,7.8213256e+03,-8.0030918e-05,3.6274533e-04,8.5121018e-02,3.9210165e-02,1.1420258e-01
0.6392773,A,0.6392792,3.1470102e+03,6.6389137e+03,5.1116874e-04,-6.6569015e-04,1.5995416e-01,1.4720808e-01,1.6927831e-01
1.1844339,A,1.1844198,3.1596500e+03,6.7821895e+03,2.8955898e-04,7.7985453e-04,2.1156642e-01,2.3591780e-01,2.2359301e-01
0.8848628,A,0.8848516,3.3184208e+03,6.2932425e+03,-2.7623736e-04,-5.3320372e-04,1.0548124e-01,2.1205673e-01,2.1679841e-01
0.9654878,A,0.9654828,3.4432670e+03,6.1585192e+03,1.9731752e-04,-3.7306670e-04,1.2437331e-01,9.4626184e-02,1.1656610e-01
0.5575783,A,0.5575815,2.9638307e+03,5.5573525e+03,-1.1863207e-04,1.2002717e-03,2.3526582e-01,3.0986579e-02,1.1598387e-01
1.0499362,A,1.0499369,3.2382080e+03,5.5674875e+03,-1.8491264e-04,-6.4278930e-04,1.7939053e-01,1.0638000e-01,1.4310140e-01
1.4503507,A,1.4503505,3.6777020e+03,4.8789591e+03,-9.4760878e-05,8.2153358e-04,1.8098031e-01,5.5470347e-02,7.3183723e-02
1.1974703,A,1.1974760,3.0333455e+03,5.0103074e+03,-3.0699695e-04,1.4475022e-04,1.8221536e-01,1.6590589e-01,2.5031952e-01
0.6188127,A,0.6188085,3.7406988e+03,4.8085351e+03,-1.5213720e-04,2.6975508e-05,1.4303204e-01,5.1312853e-02,1.8556626e-01
48.3675169,B,0.5715195,3.6695252e+03,4.1938438e+03,-4.0620751e-04,3.1970258e-04,6.1948497e-02,2.4756234e-01,2.7618814e-01
0.7315438,A,0.7315366,3.5439353e+03,3.7979817e+03,3.2960199e-04,4.7838985e-04,1.6198281e-01,1.5002496e-01,3.0219215e-01
0.7552360,A,0.7552316,3.6968591e+03,3.9147403e+03,-1.9721726e-04,-2.5278824e-04,2.2175808e-01,5.1645007e-02,1.5136163e-01
0.5446182,A,0.5445974,2.9086948e+03,3.3456665e+03,2.7536376e-04,9.2824609e-04,4.0503008e-01,1.7180016e-01,2.3215768e-01
