modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.9155827269,A,0.91556,3.2088133e+03,1.4266658e+07,2.7479377e-04,1.5888769e-03
1.4530601427,A,1.45306,3.4846420e+03,5.7902166e+06,-3.8234835e-06,-7.1718672e-05
0.7215924720,A,0.72159,3.4634988e+03,5.8462342e+06,1.7381896e-06,-1.4632716e-04
1.1933519503,A,1.19335,3.1180187e+03,5.5373650e+06,1.4068323e-04,3.0817322e-05
0.1197662527,A,0.11976,3.4581545e+03,2.5233525e+06,-5.2028369e-05,-6.2843025e-05
0.3895382799,A,0.38953,3.2550166e+03,2.3729162e+06,-1.5218558e-05,-2.1429614e-04
1.2371340461,A,1.23713,2.9942646e+03,2.1887299e+06,9.2870507e-05,-5.3766842e-04
1.5115409596,A,1.51154,3.4660840e+03,1.7906120e+06,-9.8845325e-06,4.5314765e-05
0.9545560982,A,0.95456,3.5785577e+03,1.6696082e+06,5.9345205e-05,1.9811839e-04
0.7842520292,A,0.78426,3.1655513e+03,1.0857872e+06,3.2131834e-05,-3.6447421e-04
0.1688782737,A,0.16888,3.3684812e+03,1.0274298e+06,1.5982569e-05,1.2372192e-04
48.9510478974,C,0.01188,2.6432216e+03,1.0994280e+06,2.0023014e-04,2.1266674e-03
