modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
2.4632049892,A,2.46320,3.5998160e+03,1.3461031e+08,1.1827046e-04,1.3009972e-04
4.0983997390,A,4.09841,2.2532250e+03,1.0330919e+08,4.9436011e-04,1.9574136e-03
4.3270482357,A,4.32704,3.4355413e+03,9.4109696e+07,-1.2052869e-04,7.0989754e-05
4.3719777276,A,4.37198,3.1039864e+03,7.0513280e+07,2.4207007e-04,-5.0688550e-04
0.3891590144,A,0.38917,3.0359288e+03,6.4722465e+07,-6.0654438e-05,8.7345656e-04
2.0711558661,A,2.07115,2.9329667e+03,6.3542102e+07,1.3334842e-04,1.4384937e-04
1.9087495776,A,1.90874,3.1965265e+03,5.4090128e+07,2.4347602e-04,4.0405062e-04
4.9263872387,A,4.92638,3.6558646e+03,3.9033437e+07,2.5099178e-04,3.6511216e-04
0.0449757237,A,0.04497,3.0721352e+03,3.2221119e+07,1.1199338e-05,5.4799691e-04
2.0278018029,A,2.02778,2.8302455e+03,2.3075363e+07,1.1954425e-04,5.7742267e-04
0.5993745339,A,0.59938,3.3433333e+03,1.7567598e+07,2.9582201e-04,-3.4553233e-04
0.3423638865,A,0.34236,3.3914943e+03,1.1898820e+07,1.3817336e-04,4.8023596e-04
