modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.5757972658,A,0.57580,3.4461417e+03,8.3497432e+07,4.4139312e-06,-8.2107903e-05
1.0577650858,A,1.05776,3.4888669e+03,8.3751538e+07,1.0531049e-04,-8.9472855e-05
0.4454665616,A,0.44546,3.3564248e+03,5.7997691e+07,-9.7701403e-05,-1.7098628e-04
1.0016118560,A,1.00161,3.2463416e+03,4.7181128e+07,1.0239398e-04,-1.7248840e-04
0.1584802427,A,0.15848,3.1720057e+03,2.5503828e+07,-1.2375044e-04,-4.1706662e-05
0.7217378094,A,0.72174,3.3461844e+03,1.9749817e+07,1.7475965e-05,-2.1012260e-04
0.4144540615,A,0.41445,3.4029346e+03,1.9879740e+07,7.0369900e-05,-3.5697750e-04
0.4849152717,A,0.48491,3.2314021e+03,1.4317572e+07,-6.8991303e-06,2.1740411e-05
1.4434582974,A,1.44347,3.0161770e+03,1.2594633e+07,-5.8647462e-05,-5.3895475e-04
0.5632288570,A,0.56324,3.2929407e+03,1.1738573e+07,6.3142651e-05,-6.7265247e-05
1.0268793863,A,1.02688,3.4184906e+03,9.3558509e+06,9.1118296e-06,-2.4816985e-04
0.4336367632,A,0.43364,3.1737863e+03,8.4701727e+06,1.3219698e-04,-2.1790931e-04
