modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.1850529476,A,0.18505,3.3280661e+03,6.6406930e+07,-5.6058430e-06,-3.0986999e-05
1.6462210013,A,1.64622,3.4765334e+03,4.9211757e+06,1.6170426e-05,-2.7541406e-05
1.4260223547,A,1.42603,3.3994783e+03,2.3126954e+06,1.9420289e-06,-1.3107355e-05
1.7551739390,A,1.75518,3.4495950e+03,1.8315410e+06,-1.9731444e-05,-2.8792257e-05
0.9455688787,A,0.94556,3.3931034e+03,1.1005719e+06,-4.9345368e-07,-4.1774444e-05
1.4025624632,A,1.40255,3.5122241e+03,6.0433996e+05,5.2811834e-06,-6.4710569e-05
1.3878753208,A,1.38787,3.0734616e+03,5.1049555e+05,8.1615933e-05,-1.2672916e-04
0.6848034122,A,0.68480,3.5451947e+03,3.4998720e+05,-1.4546289e-04,-3.1894215e-04
1.5481292666,A,1.54812,3.1757431e+03,3.2289430e+05,-8.1220879e-06,-3.0380306e-04
1.4856832904,A,1.48568,3.4605292e+03,2.7441332e+05,9.8984885e-05,-2.7751735e-04
1.1505624972,A,1.15057,3.2606938e+03,2.7815132e+05,3.0014266e-05,-9.6259015e-05
1.1332021707,A,1.13320,3.5119135e+03,2.2229150e+05,-1.9872959e-05,-1.2807808e-04
