modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.2431993930,A,0.24320,3.6263827e+03,1.0867114e+09,-4.5841275e-05,5.2603240e-05
0.2174127394,A,0.21741,3.7729428e+03,2.0042504e+08,9.1107414e-05,1.0397689e-05
1.2132283631,A,1.21323,3.6104671e+03,6.3249936e+07,-2.4158124e-05,-2.0210207e-05
0.0258473705,A,0.02584,3.1869320e+03,4.0700948e+07,-3.5755701e-05,-7.6400410e-04
0.1073242444,A,0.10732,3.3118708e+03,3.4991667e+07,2.4765108e-05,-6.1449649e-05
1.0601863255,A,1.06019,3.5736436e+03,2.8117697e+07,-3.0573389e-05,-1.0952108e-04
0.8169978080,A,0.81700,3.5837545e+03,2.1376142e+07,4.3442167e-05,6.9015576e-05
49.1661720634,C,0.22715,3.5549439e+03,1.0013824e+07,-2.8950580e-04,-7.3062709e-05
0.1679702863,A,0.16797,3.7310605e+03,1.0465826e+07,-6.9968314e-05,2.6395812e-04
0.2593077660,A,0.25932,3.3207543e+03,9.2484120e+06,2.1552756e-04,1.1115747e-03
0.9700308231,A,0.97002,3.6278755e+03,8.9581037e+06,1.7968037e-05,1.9692423e-04
1.0405140722,A,1.04051,3.5006100e+03,8.0372761e+06,7.3097295e-05,1.1895989e-04
