modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.8662628627,A,0.86627,3.5905319e+03,2.5809947e+08,-1.7840116e-05,-2.8661277e-05
0.8983401694,A,0.89833,3.4280002e+03,1.1117994e+08,4.0127239e-05,-8.1023569e-05
0.9958615181,A,0.99585,3.4038840e+03,2.0801040e+07,1.3651605e-07,2.7475193e-05
1.0752767977,A,1.07528,3.6656524e+03,1.2234360e+07,5.7979169e-05,-1.0604705e-04
1.2010434775,A,1.20105,3.5327978e+03,7.4867313e+06,-2.5480583e-05,-6.0244687e-05
0.8823320540,A,0.88232,3.6071744e+03,3.7479791e+06,2.4218839e-05,8.0775751e-04
1.0549839761,A,1.05498,3.6453731e+03,2.8920150e+06,-8.0284996e-05,-2.9184835e-04
0.8501121939,A,0.85010,3.4113362e+03,1.8801954e+06,1.1624946e-04,1.4254297e-03
1.5528810008,A,1.55287,3.5830529e+03,1.2839493e+06,-1.0137767e-05,2.0446861e-04
0.0294870469,A,0.02948,4.0230641e+03,9.5528512e+05,1.9851173e-04,1.9075746e-04
0.8148398440,A,0.81485,3.7822009e+03,9.4109513e+05,4.8728470e-04,-3.0095177e-04
0.8395885398,A,0.83959,3.2324093e+03,9.1040574e+05,-8.5496152e-05,4.0912565e-04
