modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
5.2975117280,A,5.29751,3.2857078e+03,2.6938400e+07,-6.0885937e-06,2.9522125e-04
2.4863173039,A,2.48632,3.1413564e+03,1.7613481e+07,-4.2459090e-05,-1.1912966e-03
3.1120446050,A,3.11204,3.2406606e+03,5.6104421e+06,-2.5208358e-06,-3.0723786e-05
5.2423705637,A,5.24237,3.5179612e+03,4.4527384e+06,-4.1014251e-06,2.8835574e-04
1.4730584771,A,1.47305,3.4022179e+03,2.0240335e+06,3.7284141e-05,3.2625021e-04
1.5145255213,A,1.51452,3.3273119e+03,1.2804232e+06,-3.5694881e-05,7.6469550e-05
2.1854638864,A,2.18547,3.4644933e+03,1.2153078e+06,1.2904505e-05,1.8786278e-04
5.4231555742,A,5.42316,3.3876429e+03,1.2091211e+06,1.2412483e-05,5.3829516e-05
10.6445501850,A,10.64454,3.4159834e+03,8.5303112e+05,7.7727880e-06,-9.1641154e-07
5.3603113077,A,5.36030,2.7622736e+03,7.5073894e+05,-3.3463182e-04,-4.1729087e-04
2.3111199004,A,2.31111,3.5098416e+03,7.0786432e+05,3.7937199e-05,-6.3627304e-06
5.1936678576,A,5.19366,3.3334448e+03,6.8778450e+05,-8.0408689e-05,4.7266612e-04
