modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.2687767059,A,0.26878,3.3893486e+03,2.1080716e+07,-5.0196309e-05,-2.0508426e-05
0.3097356985,A,0.30973,3.2938078e+03,1.3962364e+07,-6.7017818e-05,-4.5385536e-05
2.2342083269,A,2.23421,3.3658838e+03,2.2139668e+06,-2.4160666e-05,-1.2499487e-04
1.9245030505,A,1.92451,3.4645500e+03,8.7133124e+05,1.5575560e-05,9.2751821e-04
0.3510261887,A,0.35102,3.0628237e+03,6.6227491e+05,9.1462387e-05,1.7607465e-04
0.5958631140,A,0.59587,3.5225755e+03,6.3629104e+05,2.9097659e-04,-5.3156587e-04
0.2250503573,A,0.22506,2.9210970e+03,3.0112446e+05,-2.2522634e-05,-1.0187337e-03
3.7902717284,A,3.79025,2.1871419e+03,2.4434785e+05,-8.5584236e-05,-2.1494246e-03
0.8579134592,A,0.85792,3.4491433e+03,2.4167197e+05,3.1707853e-04,-2.1923394e-04
0.0585376526,A,0.05852,3.3833030e+03,2.2589477e+05,2.3787791e-04,8.2172810e-04
2.2645851496,A,2.26459,3.3099783e+03,2.2196691e+05,-1.0251818e-04,-1.1675611e-04
1.9624281438,A,1.96245,2.8334425e+03,2.0852908e+05,4.1707257e-04,1.0023887e-03
