modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.2200383886,A,0.22005,3.3597207e+03,6.4468379e+07,-1.7391397e-06,5.4259992e-06
1.8018815825,A,1.80189,3.4402112e+03,1.4043812e+07,6.0900250e-05,1.2130874e-04
1.0177232320,A,1.01772,3.1205983e+03,6.3926411e+06,-1.7318168e-06,1.6415324e-04
2.1538043155,A,2.15380,3.3220069e+03,3.8210914e+06,1.8661990e-05,3.6749841e-04
0.1295392938,A,0.12954,3.1437207e+03,3.9435258e+06,5.3409215e-05,2.7357059e-05
0.1124099721,A,0.11241,3.4230940e+03,3.1922698e+06,1.5928734e-04,3.5558632e-07
1.0769061344,A,1.07691,3.3427958e+03,3.0337989e+06,7.5355754e-05,3.9171142e-04
1.8314607956,A,1.83145,3.3951700e+03,2.2290212e+06,-4.9124765e-05,-9.5990070e-06
0.2512505622,A,0.25124,3.3565830e+03,1.9842330e+06,-1.3460208e-04,1.2579221e-04
1.2736243127,A,1.27362,3.3363207e+03,1.5170228e+06,1.7955252e-05,-1.6526660e-04
0.0207597459,A,0.02076,3.5818828e+03,8.7810548e+05,2.6730220e-04,4.6866028e-04
0.5088570376,A,0.50885,2.0143930e+03,6.4103575e+05,3.6085094e-05,1.8646814e-03
