Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
1.1362841,A,1.1362864,3.5431949e+03,2.5880624e+05,1.3115897e-05,-2.7613470e-04,5.2372687e-02,4.9291914e-02,5.2462021e-02
5.0846746,A,5.0846801,3.4273755e+03,2.9115073e+04,-2.2282489e-05,5.5391433e-07,1.2078793e-02,9.1745229e-03,1.8309344e-02
2.2726413,A,2.2726363,3.3520766e+03,2.6381631e+04,-4.8491893e-04,7.1028142e-04,1.8019137e-01,1.7387003e-01,1.8633117e-01
4.1421343,A,4.1421384,3.4617916e+03,1.9241587e+04,8.9788320e-06,2.5445135e-05,1.0114615e-02,8.2961470e-03,1.2144392e-02
2.8713730,A,2.8713715,3.5082832e+03,1.6040923e+04,-1.7055233e-05,-4.1395017e-06,1.2066615e-02,1.1313780e-02,1.6985853e-02
13.0531811,A,13.0531829,3.4950208e+03,8.5491523e+03,-3.1979021e-05,-1.7908951e-05,7.7739121e-03,8.7515086e-03,1.2813835e-02
1.1994724,A,1.1994767,3.1631371e+03,5.8965939e+03,-7.6786121e-05,-2.7715274e-04,7.2948033e-02,2.1983268e-02,5.4369117e-02
1.0226362,A,1.0226383,3.3417766e+03,4.2283192e+03,-1.1245096e-04,1.6656182e-04,4.8361988e-02,2.5703528e-02,4.9136340e-02
9.0738077,A,9.0738022,3.1989332e+03,3.6392473e+03,-5.7793726e-05,-1.7749830e-05,3.4290227e-02,2.3070977e-02,2.2082976e-02
5.3014330,A,5.3014330,3.5535168e+03,2.9719357e+03,-2.1154054e-05,1.3417222e-04,2.5546118e-02,7.6355207e-03,3.5671965e-02
3.4092424,A,3.4092470,3.2519792e+03,2.3304510e+03,-3.4445777e-04,5.4766923e-04,1.2091347e-01,1.4412920e-01,1.9821644e-01
1.6757037,A,1.6757034,3.2154088e+03,2.6115079e+03,6.7703507e-05,-2.0247708e-04,3.8580877e-02,3.4923426e-02,5.8223390e-02
