modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.8628724768,A,0.86287,3.2216078e+03,4.8034290e+09,4.2969754e-06,-2.7382571e-06
0.8385437237,A,0.83854,3.4535415e+03,1.2489426e+09,2.1177757e-05,6.4915522e-05
0.8948454154,A,0.89485,3.2332759e+03,5.3279523e+08,-3.9829354e-05,-2.0826743e-05
0.8143091092,A,0.81430,3.4668006e+03,1.5262670e+08,-1.0000019e-04,-3.2346252e-05
0.9921555324,A,0.99216,3.5394821e+03,7.4606431e+07,3.5377768e-07,3.3408329e-04
0.9133205779,A,0.91332,3.4797312e+03,5.6598016e+07,-1.1654554e-05,-6.2936909e-05
0.9317721201,A,0.93177,3.0344880e+03,1.8987291e+07,-3.4663569e-05,-4.4341316e-04
49.9069266562,C,0.96793,3.4979419e+03,1.3761568e+07,-7.5326335e-05,-1.0255627e-03
48.9472473006,C,0.00823,2.9438570e+03,1.7103136e+07,-3.0946387e-04,-4.8806630e-04
49.7927883565,C,0.85301,4.9436743e+03,1.5290880e+07,-1.2487217e-03,1.8486093e-03
1.8083074471,A,1.80830,3.2987907e+03,1.0902807e+07,1.1271416e-04,2.7359939e-05
0.8262019025,A,0.82621,3.1834863e+03,1.0693354e+07,3.5186734e-04,-2.5412929e-04
