modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.3694767677,A,0.36948,3.2492087e+03,1.1833502e+06,1.3467415e-04,7.2949074e-04
0.3888996081,A,0.38890,3.3693343e+03,9.8736127e+05,-1.5797309e-04,3.5882809e-04
0.1319930598,A,0.13200,3.4804530e+03,8.3943139e+05,1.1101656e-04,1.5397233e-04
0.1189540505,A,0.11896,3.3560082e+03,7.8887504e+05,-1.6021753e-04,-2.1039915e-04
0.3579319806,A,0.35792,3.2140378e+03,7.5839486e+05,7.8084075e-05,8.7386927e-04
1.2108033246,A,1.21079,3.0570304e+03,5.3291489e+04,7.3363971e-05,4.3394232e-04
49.0832656694,C,0.14430,3.5423549e+03,4.2030562e+04,-3.7620884e-04,4.5797064e-05
49.1958744519,C,0.25581,3.8430186e+03,4.0568750e+04,5.7509459e-04,-4.2675617e-04
49.4599191966,C,0.52082,3.1869357e+03,4.3124125e+04,-6.6230431e-05,8.0134084e-04
1.1731350645,A,1.17313,3.1098935e+03,3.5681271e+04,2.0240098e-04,5.3645771e-04
0.2454200664,A,0.24541,2.7111362e+03,3.1673749e+04,3.0500394e-04,3.8609877e-04
0.9153056709,A,0.91532,3.1857116e+03,2.2421710e+04,-2.4328494e-04,2.3406602e-04
