Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
44.5634002,B,4.3765374,8.3096937e+02,3.0147461e+01,1.8508988e-03,1.3010528e-03,3.4920803e-01,2.4532233e-01,2.4016069e-01
46.6513910,B,2.2885095,6.1388557e+02,3.0417524e+01,-1.3766788e-04,7.1947556e-03,3.3040344e-01,1.3556046e-01,1.9500434e-01
2.0172859,A,2.0172248,6.9914193e+02,3.0694051e+01,1.9225014e-03,1.7539988e-03,1.8872329e-01,9.9977808e-02,2.1650424e-01
31.8862576,B,17.0538053,5.2160044e+02,2.9051280e+01,-5.7463007e-04,6.1370079e-03,3.0957982e-01,1.7260457e-01,2.0467377e-01
66.2576478,C,17.3173368,6.3910847e+02,2.7915642e+01,1.9687847e-03,-5.3814936e-05,1.5090655e-01,2.2416211e-01,2.3690731e-01
66.6740701,C,17.7341119,6.0906202e+02,3.4096954e+01,-1.1915843e-03,5.0994870e-03,3.5229562e-01,5.9482662e-02,1.8026459e-01
31.0702122,B,17.8697388,7.3007944e+02,2.6824448e+01,1.5502081e-03,2.5102364e-03,3.2528724e-01,1.2564793e-01,3.1173053e-01
39.6409742,B,9.2990829,6.8224758e+02,2.6937540e+01,-1.4810764e-05,3.0053180e-03,2.5435989e-01,2.4010687e-01,2.0857172e-01
2.8355283,A,2.8355626,7.5150421e+02,2.5032762e+01,-7.0562163e-04,-1.2924962e-03,1.7697724e-01,1.5584389e-01,1.6123294e-01
43.7706333,B,5.1693331,6.7373990e+02,2.7626860e+01,1.2078956e-03,3.7679875e-04,2.3152358e-01,1.8650874e-01,1.7749976e-01
0.7050566,A,0.7050671,7.7798122e+02,2.4703615e+01,-3.2639812e-04,-1.2158203e-03,2.3865406e-01,1.9591293e-01,2.2221049e-01
13.8261076,A,13.8261633,7.2677968e+02,2.3868807e+01,1.0684871e-03,1.2069497e-03,2.7191623e-01,7.4885207e-02,1.0594373e-01
24.3782218,A,24.3782686,7.5078169e+02,2.2616842e+01,-1.4611288e-03,2.7992651e-03,2.1043936e-01,1.8108484e-01,1.8381296e-01
61.5930186,C,12.6531309,7.0979078e+02,2.6466770e+01,6.1160344e-04,-2.1375560e-03,2.4515282e-01,4.5783404e-02,8.0550164e-02
69.7696427,C,20.8295766,7.6284044e+02,2.4402466e+01,-9.5722554e-04,-2.8375954e-03,3.2353465e-01,1.5747394e-01,1.5115181e-01
36.5819305,B,12.3580354,6.6240156e+02,2.4152189e+01,5.7377652e-05,4.1301784e-03,3.3776666e-01,1.1627899e-01,1.7835242e-01
5.6941673,A,5.6941725,5.7967257e+02,2.4736882e+01,1.9121290e-03,5.4517614e-03,3.3200265e-01,1.5208303e-01,2.2159544e-01
59.4717426,C,10.5316253,6.8442074e+02,2.1298054e+01,1.5728175e-03,2.2015661e-03,2.2559581e-01,8.6443014e-02,1.4685147e-01
41.8208260,B,7.1192844,7.2728558e+02,2.1592899e+01,4.3707469e-04,-1.3780942e-04,2.8734278e-01,5.1041964e-02,1.8037446e-01
13.9154841,A,13.9154862,5.8261184e+02,2.2150589e+01,6.8797849e-04,3.5872515e-03,1.9694945e-01,8.7736751e-02,1.5389910e-01
58.2296287,C,9.2893344,6.7327243e+02,2.6929344e+01,1.2974424e-03,-6.5642011e-04,1.6184328e-01,1.2496140e-01,1.8485644e-01
13.0892370,A,13.0891979,8.0380411e+02,2.2263931e+01,-1.1451267e-03,-1.5649509e-04,3.1391439e-01,8.4663703e-02,3.0872131e-01
54.4994697,C,5.5596284,7.6177234e+02,2.6240273e+01,-9.0830773e-04,2.4345173e-03,2.9677622e-01,1.5889406e-01,1.7826223e-01
51.6677275,C,2.7278283,7.1371429e+02,2.4944347e+01,-2.1988278e-03,3.5612296e-03,2.0650320e-01,2.2402968e-01,1.7512900e-01
