modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.5690751264,A,0.56908,3.2186409e+03,7.2336464e+08,-5.6843830e-07,-1.5872546e-05
49.6764954562,C,0.73748,3.4800226e+03,5.4246093e+08,-4.6072728e-05,7.7198572e-05
0.5526345964,A,0.55265,3.4577065e+03,3.0714819e+08,-3.5033959e-05,1.6948734e-05
49.7520368627,C,0.81294,3.4232488e+03,1.7157786e+08,6.7560263e-05,-2.7229633e-04
0.6130103616,A,0.61300,3.2732697e+03,3.2902520e+07,-3.3978201e-04,2.0073983e-04
0.5334365325,A,0.53346,3.3769799e+03,1.0776813e+07,-1.5905854e-04,-2.5896067e-04
0.0081569792,A,0.00815,3.3622822e+03,5.4917773e+06,-1.2255375e-04,3.5231852e-04
1.3065877900,A,1.30659,3.4990725e+03,5.6541589e+06,-4.2018671e-05,3.4285316e-05
0.4552950783,A,0.45529,2.9601259e+03,4.4882888e+06,4.3086584e-04,5.1822949e-04
0.7750964788,A,0.77508,2.9121591e+03,3.3312362e+06,3.3452443e-04,-8.5703661e-04
48.0827354538,B,0.85631,3.5593217e+03,3.7631680e+06,-1.5551915e-04,1.6124823e-04
1.0158403188,A,1.01585,3.2836976e+03,2.8876358e+06,7.6280469e-05,2.4020545e-04
