modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
1.9007216742,A,1.90072,3.3846609e+03,1.8234566e+07,7.9931826e-06,-1.7076711e-05
1.8407639637,A,1.84077,3.3733693e+03,6.4852274e+06,-1.0363449e-05,-1.8168813e-05
1.9692586110,A,1.96925,3.2512187e+03,4.9779127e+05,-1.1607789e-04,-2.5245096e-04
1.7885916310,A,1.78859,3.3770314e+03,2.4783402e+05,5.5823969e-05,6.8696996e-05
50.8230003734,C,1.88469,4.4107363e+03,2.5576375e+04,1.0845554e-03,4.6046847e-04
2.0534390335,A,2.05344,3.4236103e+03,4.2137554e+04,1.8469815e-04,1.4139426e-04
0.3813097784,A,0.38131,3.1799659e+03,4.3891509e+04,-5.9016492e-05,-3.6033279e-04
1.9271247917,A,1.92718,3.7430662e+03,2.6393297e+04,-9.5425094e-04,-2.2937330e-05
0.0599885126,A,0.05999,2.7653123e+03,3.2666054e+04,-1.4210130e-04,-6.3277422e-04
50.8544236278,C,1.91534,3.9947978e+03,2.8126750e+04,6.0926405e-04,-1.3950278e-03
1.8535633429,A,1.85356,3.8370411e+03,2.5038640e+04,-5.3885520e-05,-4.1218058e-04
1.8743082848,A,1.87423,3.7437631e+03,1.9934628e+04,1.5199057e-03,7.8120268e-04
