modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
1.8325570086,A,1.83255,3.4678436e+03,6.9653257e+08,7.8619514e-06,2.1214530e-04
0.8658358023,A,0.86584,3.0994707e+03,4.4116428e+08,-8.9099929e-06,8.2813447e-05
1.9774303875,A,1.97742,3.4045967e+03,4.0054970e+08,1.0082091e-05,-1.7842125e-04
3.6639624842,A,3.66396,3.3064682e+03,3.7650056e+07,9.0464987e-05,2.8408968e-05
1.7317013853,A,1.73169,3.4715158e+03,3.2834643e+07,-2.0162740e-05,-5.5898467e-04
1.8229469161,A,1.82295,3.3859811e+03,2.0647287e+07,-1.0852458e-04,3.5219104e-04
2.8432916592,A,2.84330,3.4808604e+03,1.7619130e+07,-1.6213262e-05,-2.7349672e-06
3.7091344790,A,3.70913,3.1959280e+03,5.2819317e+06,-7.5837869e-05,-5.1636811e-04
48.9628932953,C,0.02385,3.6441536e+03,5.6233440e+06,1.3490605e-04,-3.1875429e-05
0.0099238334,A,0.00994,3.1619002e+03,2.7058956e+06,9.7515050e-04,-3.6747614e-04
1.0504337780,A,1.05044,3.4853031e+03,2.5033977e+06,1.2223702e-04,-3.5821010e-04
0.0422533515,A,0.04225,3.3277477e+03,2.3468113e+06,6.4136467e-04,-1.3830104e-04
