modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
1.2401470050,A,1.24015,3.5696270e+03,9.7513482e+09,2.8117968e-05,6.6686423e-05
1.2166527526,A,1.21665,3.6534743e+03,4.4606952e+09,-3.6233404e-05,7.0507312e-05
1.1949135416,A,1.19491,3.5814251e+03,1.8172598e+09,1.7013436e-04,-1.9311218e-04
0.0052973217,A,0.00529,2.8062210e+03,3.8504913e+08,-2.4971404e-05,-3.6861165e-04
1.1731960808,A,1.17319,3.1025746e+03,1.9584808e+08,-1.8831127e-04,2.0166743e-04
0.1789666571,A,0.17897,3.2229400e+03,1.4453119e+08,-1.6284259e-05,-7.7318524e-05
1.2561624579,A,1.25616,3.4187084e+03,1.2237580e+08,1.4137995e-04,5.9950908e-04
0.1555276843,A,0.15552,3.6501603e+03,8.7794849e+07,4.9868048e-06,-1.3341676e-04
1.2995383408,A,1.29955,3.3013151e+03,5.2790618e+07,3.0461954e-04,4.9698846e-04
1.7176844451,A,1.71768,3.4332315e+03,4.7292094e+07,5.1946689e-06,-1.9127470e-04
0.0863048824,A,0.08631,3.2127259e+03,4.2370362e+07,-1.1481069e-05,2.0173540e-04
1.2668896794,A,1.26690,3.1303356e+03,3.8069204e+07,3.9982598e-05,-1.5968107e-04
