modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
1.3617155709,A,1.36171,3.3954066e+03,2.7895788e+10,-2.9638348e-05,-2.9658161e-05
1.5187469278,A,1.51875,3.4110194e+03,2.1981503e+10,-1.2478413e-05,2.8720186e-06
1.4637533973,A,1.46375,3.4839690e+03,2.6461197e+09,-4.0990926e-05,-1.2880850e-04
48.9497433317,C,0.01071,3.3646187e+03,7.5960934e+08,-2.2987510e-04,-3.5690048e-04
1.0475350920,A,1.04754,3.1888379e+03,4.0085962e+08,-4.4718426e-05,1.1387539e-04
1.1730622173,A,1.17306,3.3819278e+03,3.7898291e+08,-9.7751538e-06,6.2219486e-05
1.2841961556,A,1.28421,3.6647664e+03,3.1418426e+08,1.9652257e-04,-3.8844358e-04
0.4649899538,A,0.46499,3.4571687e+03,1.7560972e+08,9.5989313e-07,-2.8279736e-05
2.9824966969,A,2.98250,3.4198982e+03,1.7314446e+08,-6.4241578e-05,-9.6799134e-06
1.7544274883,A,1.75443,3.4869792e+03,8.9621157e+07,-6.1145098e-05,1.6446690e-04
1.5909444908,A,1.59095,3.6162334e+03,8.0609368e+07,-2.7642553e-04,2.0612108e-04
48.9175615024,B,0.02148,3.5422547e+03,8.6401280e+07,-3.8049800e-06,3.2526990e-04
