Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
0.9155824,A,0.9155491,2.8069438e+03,1.4271246e+07,2.7644143e-04,1.5897996e-03,3.2684869e-01,2.8411356e-01,2.6655615e-01
1.4530601,A,1.4530534,3.3554912e+03,5.7901779e+06,-3.6261964e-06,-7.1718198e-05,2.8602989e-02,1.0221184e-02,1.8667233e-02
0.7215925,A,0.7215957,3.2432576e+03,5.8462529e+06,1.4268727e-06,-1.4631507e-04,3.1975160e-02,4.1399701e-02,3.3692687e-02
1.1933520,A,1.1933585,3.1264539e+03,5.5373694e+06,1.4039562e-04,3.0826807e-05,2.4874864e-02,2.6556247e-02,1.1700436e-01
1.2371341,A,1.2371391,3.1354553e+03,2.1887130e+06,9.2676629e-05,-5.3767710e-04,1.1969797e-01,5.7317689e-02,4.5632663e-02
1.5115409,A,1.5115339,3.3528735e+03,1.7905974e+06,-9.6820364e-06,4.5318148e-05,1.5264800e-02,2.0980026e-03,2.6452514e-02
0.9545560,A,0.9545501,3.5234141e+03,1.6696041e+06,5.9688793e-05,1.9810675e-04,5.5247790e-02,2.7118599e-02,4.4222586e-02
0.7842520,A,0.7842554,3.3481197e+03,1.0857954e+06,3.2180575e-05,-3.6446803e-04,7.4933835e-02,1.0331563e-01,1.1790656e-01
0.8818128,A,0.8818030,3.6126437e+03,7.4834208e+05,1.4852135e-04,-2.7329913e-04,1.3382277e-01,1.4664806e-01,1.4812651e-01
0.6155660,A,0.6155724,3.5741929e+03,5.8813364e+05,1.3217610e-04,-2.1113705e-05,5.7462454e-02,7.3728467e-02,9.0509377e-02
0.8544234,A,0.8544205,3.2205946e+03,6.2708467e+05,1.1961636e-04,-4.5156638e-04,8.3600084e-02,1.1013501e-01,1.1288750e-01
0.7459064,A,0.7459179,3.8519276e+03,4.9728461e+05,8.2528952e-05,-1.0835240e-04,1.9243795e-01,8.6575114e-02,1.4320753e-01
0.8282638,A,0.8282603,3.2218546e+03,4.8170054e+05,-2.8903843e-04,-8.4131962e-04,1.6779075e-01,1.2730751e-01,1.4004179e-01
2.7048794,A,2.7048844,3.2959761e+03,5.0598418e+05,6.8084110e-05,-1.4362973e-06,1.0036525e-02,1.9709459e-02,2.1242228e-02
0.7645628,A,0.7645636,3.5649539e+03,3.5924992e+05,2.9080905e-04,2.6095628e-04,4.8273782e-02,1.0465750e-01,1.5247021e-01
2.1324222,A,2.1324158,3.3217399e+03,3.1402776e+05,-7.0187080e-05,4.5059646e-04,9.9288680e-02,2.7194979e-02,2.7243689e-02
0.7354521,A,0.7354645,3.5800793e+03,3.1112513e+05,-2.0181638e-04,3.2215039e-04,7.9187760e-02,8.1213844e-02,1.5320875e-01
0.7026600,A,0.7026585,3.5378082e+03,3.0352811e+05,-9.5280023e-06,4.0663658e-04,1.4393048e-01,5.7832265e-02,1.0579790e-01
1.0480134,A,1.0480134,3.0061530e+03,2.7453967e+05,-1.4462041e-04,8.0646407e-04,1.5402307e-01,7.2341143e-02,7.3419766e-02
1.1487285,A,1.1487335,3.5074846e+03,2.4597796e+05,-1.4591955e-04,-4.4034080e-04,1.0249287e-01,6.5130749e-02,1.2065000e-01
1.4293450,A,1.4293541,3.2105320e+03,1.9690052e+05,1.9692449e-04,4.9994630e-04,2.0590777e-01,9.3723258e-02,8.4621384e-02
47.8238798,B,1.1152259,4.1682427e+03,1.8675150e+05,3.0400763e-04,1.3730266e-04,9.6337158e-02,2.2345205e-01,2.0403231e-01
0.9999325,A,0.9999259,3.5820220e+03,1.7895673e+05,1.3589663e-04,-1.5891262e-04,1.1186071e-01,5.7595650e-02,1.6335654e-01
1.3849876,A,1.3849897,3.1886452e+03,1.6075401e+05,3.0765984e-04,4.8416056e-05,1.6686003e-01,9.8501250e-02,1.2029940e-01
