modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.5385239218,A,0.53853,3.3699480e+03,1.1458068e+08,-1.1757848e-05,-2.1162313e-04
0.6559920354,A,0.65600,3.5030669e+03,7.5338435e+07,-1.5519216e-05,-4.9059309e-05
1.2572181797,A,1.25722,3.4966479e+03,6.4127522e+07,6.8977201e-06,2.7788132e-05
0.7679019095,A,0.76790,3.1742498e+03,6.6305207e+07,-9.3898398e-06,8.9532090e-06
1.0176699086,A,1.01766,3.3989948e+03,4.7811301e+07,-2.3788217e-05,-9.9364977e-05
1.6324979289,A,1.63250,3.2357588e+03,4.6067519e+07,2.9646896e-06,3.9861605e-05
0.8418309274,A,0.84184,3.3172946e+03,4.4729609e+07,3.1027430e-05,-1.5065913e-04
1.0418930450,A,1.04189,3.4779911e+03,4.0397443e+07,-2.9750554e-05,6.7000846e-05
0.8527644390,A,0.85277,3.4180845e+03,3.1782433e+07,-1.4559860e-04,-2.7631426e-05
0.4792002990,A,0.47920,3.5751821e+03,3.0751653e+07,6.1767512e-05,-2.1181542e-04
0.9150005103,A,0.91500,3.2344094e+03,2.4993406e+07,4.4643447e-05,-6.1087971e-05
1.1495723759,A,1.14957,3.5199794e+03,1.2758415e+07,-2.9988594e-05,2.1995541e-04
