modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.9900417170,A,0.99004,3.3448509e+03,6.7518087e+07,3.4820514e-05,-1.6587331e-05
1.0855811006,A,1.08558,3.6376959e+03,3.4325530e+07,-9.1789223e-06,-6.4291334e-06
0.9784520259,A,0.97845,3.3637687e+03,1.2878824e+07,-1.5991273e-04,-9.1763156e-05
1.0659950493,A,1.06599,3.2404615e+03,4.8214340e+06,-8.8348533e-05,-1.4150926e-04
1.0322159856,A,1.03221,3.0473961e+03,3.9231093e+06,5.9274084e-05,-3.6864729e-04
1.1069525912,A,1.10695,3.6541364e+03,2.6960164e+06,1.6020453e-04,3.2392640e-05
0.8730522659,A,0.87305,3.1892634e+03,9.5817203e+05,-9.7128439e-06,-4.9950341e-04
47.9330041224,B,1.00606,3.7794957e+03,4.2552000e+05,-1.1136709e-04,1.1044134e-03
47.8886214122,B,1.05049,3.5401826e+03,2.7842900e+05,7.3541823e-04,-6.3939792e-05
0.0236077286,A,0.02360,3.7071205e+03,2.4989066e+05,-3.0030061e-04,1.1441704e-03
0.9260315956,A,0.92602,4.2769429e+03,2.3621958e+05,-3.1933781e-04,1.6457380e-05
1.0166885864,A,1.01672,3.6294482e+03,2.0341520e+05,6.9468149e-04,2.6854953e-05
