modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
2.0271012773,A,2.02710,3.1542052e+03,4.4839157e+05,-3.7916861e-05,-8.9381647e-05
4.1815118060,A,4.18151,3.1583271e+03,2.2271181e+05,5.2825694e-05,8.0663562e-05
0.8128030372,A,0.81280,3.2966983e+03,1.7453498e+05,5.8819285e-05,1.1415124e-04
1.0422056584,A,1.04220,3.3336867e+03,1.7503261e+05,-2.6532705e-05,1.7837808e-05
0.8510098269,A,0.85100,3.3559248e+03,8.8541151e+04,-6.1309516e-05,5.7310815e-04
0.3133775827,A,0.31338,3.5553894e+03,7.3573675e+04,5.0497585e-05,-1.7275334e-04
0.9380429380,A,0.93804,3.2095949e+03,7.0712338e+04,-1.8194343e-04,-4.8682196e-04
2.4883242055,A,2.48832,3.4739254e+03,4.5798326e+04,-2.1861703e-05,-2.6815058e-05
1.7993240877,A,1.79932,3.1458677e+03,4.1693506e+04,1.2878057e-04,-1.0067776e-03
0.9848343767,A,0.98483,3.2500961e+03,3.9230106e+04,1.0296198e-04,1.1375447e-04
0.5626666474,A,0.56266,3.3650384e+03,4.0283654e+04,-4.5661796e-04,2.5764649e-04
0.2250516504,A,0.22505,2.5855886e+03,3.7183735e+04,1.8152223e-04,-1.7235951e-03
