modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
48.9254019581,B,0.01082,2.0799451e+03,7.0710240e+06,2.2966459e-06,-2.1723314e-03
0.2294524224,A,0.22944,3.4936252e+03,1.0323370e+07,-6.0708073e-05,4.8787960e-05
1.6775812128,A,1.67758,3.2695962e+03,4.3619295e+06,-5.6024851e-06,1.3232199e-04
48.9597180117,C,0.02343,2.7360494e+03,2.5134160e+06,1.3281530e-05,-1.6534164e-03
0.3232295612,A,0.32323,3.6042183e+03,3.0970385e+06,1.2022983e-04,-1.1837199e-05
0.3046609438,A,0.30467,3.4599529e+03,2.4545750e+06,-1.1470456e-04,2.3808171e-04
1.6195308444,A,1.61953,3.2606161e+03,2.2394098e+06,-5.0756747e-05,3.3061286e-04
0.0546409540,A,0.05464,3.2848370e+03,1.4194057e+06,-3.3577087e-04,-2.0269829e-04
1.4426803233,A,1.44268,3.5452003e+03,1.6428780e+06,-2.7648805e-04,7.3473071e-04
7.5744391763,A,7.57444,3.4142437e+03,1.3231951e+06,1.6095459e-05,2.2782441e-04
0.2841715615,A,0.28419,3.2899208e+03,1.2034473e+06,1.4637706e-04,4.0500068e-04
0.0350093576,A,0.03500,2.8197135e+03,7.0680535e+05,-1.6087338e-04,-9.3876506e-04
