Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
0.6122729,A,0.6122899,3.2713415e+03,4.1292939e+01,-2.7139194e-04,-1.6687534e-04,6.8685578e-02,1.6623996e-01,2.3763630e-01
23.8289507,A,23.8289763,3.2815781e+03,3.4184326e+01,-9.6279471e-05,5.9190358e-05,1.4619388e-01,4.5679980e-02,1.2707275e-01
8.0433628,A,8.0433400,3.0404736e+03,3.4716732e+01,-5.5129260e-04,4.5730825e-05,1.3545005e-01,2.3193379e-01,2.2314316e-01
9.9502822,A,9.9502839,2.7580241e+03,2.9693703e+01,-7.1678390e-06,3.9378256e-04,1.9241996e-01,1.5591277e-01,1.4060567e-01
32.8416636,B,16.0974253,3.0566289e+03,3.8309021e+01,-3.5947032e-04,-2.6497994e-04,1.0502182e-01,1.3464137e-01,2.5894064e-01
71.8843786,C,22.9452938,3.7291153e+03,3.3714600e+01,-7.9242395e-05,-3.2163660e-04,1.1169985e-01,1.0464113e-01,1.3070074e-01
1.0584445,A,1.0584226,2.9734254e+03,2.8745827e+01,4.0800691e-04,-2.9049762e-04,3.1498578e-01,2.3342164e-01,2.2848958e-01
1.5037302,A,1.5037267,3.0460353e+03,3.2794085e+01,-3.4717477e-04,8.1471223e-04,2.2019210e-01,1.8247263e-01,2.4820067e-01
13.4692124,A,13.4692113,3.7042980e+03,2.8958504e+01,4.7559743e-04,-5.3096820e-04,1.1285316e-01,1.1670745e-01,1.8521682e-01
0.5800646,A,0.5800409,3.4333150e+03,3.6698285e+01,2.9201678e-04,1.7774836e-04,2.2789076e-01,1.4779275e-01,1.7280636e-01
11.0125886,A,11.0125786,2.7926160e+03,2.6552265e+01,-2.3264787e-05,1.5253579e-03,2.9199440e-01,1.5038772e-01,1.3415992e-01
46.9787151,B,1.9602813,3.3820464e+03,2.8790222e+01,3.6134632e-04,-2.6170037e-04,1.0961373e-01,2.6994597e-01,2.9228453e-01
21.1559453,A,21.1560054,3.0007543e+03,3.4599350e+01,2.9193340e-04,-7.8471524e-04,1.5205121e-01,1.5280411e-01,2.5017279e-01
7.8221029,A,7.8221432,3.0217866e+03,3.1439043e+01,3.2203440e-04,2.0287395e-04,1.9762637e-01,1.0865019e-01,2.5347634e-01
56.9610357,C,8.0219831,3.3654946e+03,3.2876099e+01,3.7344984e-04,-1.3661738e-04,1.4469286e-01,1.1664820e-01,1.3543657e-01
47.9652070,B,0.9738263,3.5535824e+03,3.8346191e+01,-2.0179446e-04,-3.8717014e-04,7.9210329e-02,1.3217975e-01,2.2583976e-01
4.8791426,A,4.8791791,3.2564401e+03,2.5491218e+01,2.6858092e-04,1.0571473e-05,3.2126888e-02,1.3756903e-01,1.3292402e-01
39.5613737,B,9.3778006,2.7441833e+03,2.8789795e+01,-2.2796195e-04,-3.4363621e-04,4.1362794e-01,9.5118132e-02,1.4980924e-01
3.1017037,A,3.1017128,3.0345607e+03,3.1544263e+01,2.2640531e-04,-7.7489341e-04,1.8670828e-01,9.1596332e-02,1.3217314e-01
5.7770993,A,5.7771037,3.2317896e+03,2.8482238e+01,-2.1017007e-04,-4.8680436e-05,1.9515825e-01,2.0408258e-01,1.7319784e-01
35.9851198,B,12.9539393,2.9026615e+03,3.4120575e+01,1.5681958e-05,9.0933607e-04,1.8735983e-01,8.1428019e-02,9.6950685e-02
20.8404318,A,20.8404385,2.9711627e+03,2.4785652e+01,-3.0191832e-04,-1.0770142e-03,3.8220511e-01,8.3370122e-02,1.7754148e-01
3.7385691,A,3.7385728,3.8265325e+03,3.0950021e+01,3.7336261e-04,-9.3511176e-04,2.3128105e-01,1.4348195e-01,2.0315441e-01
20.2619600,A,20.2619511,3.4798070e+03,2.3796074e+01,-1.0610864e-04,1.1016660e-03,3.3656141e-01,1.9193123e-01,1.9952704e-01
