Freqs,Regions,Freq in region A,Delta chi2,Sigma phi(4),Sigma phi(jack)
1.1096907,A,1.1096940,7.1552065e+06,1.3670657e-01,1.0998483e-01
2.2193425,A,2.2193489,2.6388161e+06,3.3766878e-03,4.2494867e-03
32.1995598,B,16.7394903,2.9881160e+06,1.2382253e-02,1.1034460e-02
37.5557163,B,11.3833317,1.2842580e+06,2.3587779e-02,1.9048393e-02
43.1794212,B,5.7596111,1.0500520e+06,1.1742523e-01,1.0714098e-01
34.5141427,B,14.4248897,8.5310125e+04,6.8971788e-02,5.5393548e-02
17.4404447,A,17.4404494,4.5370719e+04,1.1913086e-02,1.3062102e-02
28.7643481,B,20.1747101,4.9765375e+04,1.0075380e-02,1.5464810e-02
27.2284630,B,21.7105822,2.0556078e+04,3.3136529e-02,2.9875885e-02
47.8391797,B,1.0998086,2.3955625e+04,3.5938029e-01,8.9519439e-01
1.1217867,A,1.1217600,1.3407741e+04,9.8907694e-01,9.4582991e-01
50.0238212,C,1.0848917,1.5354875e+04,1.5776205e-01,4.2015508e-01
47.8026411,B,1.1363305,1.6997250e+04,9.2014470e-02,3.1261405e-01
17.3717857,A,17.3717877,1.2270680e+04,5.5967830e-02,4.6483992e-02
38.4477709,B,10.4912640,1.7363906e+04,5.4262899e-02,4.6377406e-02
5.6237214,A,5.6237292,1.0566184e+04,5.1991074e-02,6.0102297e-02
18.6294865,A,18.6294808,9.9271875e+03,2.4360415e-02,2.6282904e-02
40.2467695,B,8.6922924,1.1751062e+04,8.2494080e-02,1.5584873e-01
10.9799023,A,10.9798979,6.8263594e+03,1.3336775e-01,1.5166671e-01
1.0121162,A,1.0121071,6.1105245e+03,8.8983629e-02,1.3715118e-01
16.8018475,A,16.8018709,6.0346406e+03,8.7440338e-02,2.5034884e-01
1.1735386,A,1.1735160,5.9910250e+03,1.5322975e-01,3.8939738e-01
15.5542526,A,15.5542472,5.5692695e+03,9.3017707e-03,2.1606140e-02
47.7878192,B,1.1512247,7.3316562e+03,2.7806394e-01,3.2699612e-01
