Freqs,Regions,Freq in region A,Delta chi2,Sigma phi(4),Sigma phi(jack)
50.6419360,C,1.7009988,5.3592308e+03,1.0028056e-02,1.3026070e-02
45.5388033,B,3.4021694,7.8400795e+02,3.4063496e-02,4.5076564e-02
50.6419349,C,1.7157183,5.3590683e+03,1.0049127e-02,1.3032091e-02
43.8365993,B,5.1045177,4.3728252e+02,1.1166215e-02,6.3230000e-02
50.6419350,C,1.6864885,5.3591982e+03,1.0046241e-02,1.3031255e-02
42.1357131,B,6.8052837,2.4221201e+02,9.9433202e-02,8.1097945e-02
40.4341314,B,8.5069660,1.4525615e+02,1.0561442e-01,1.3307566e-01
50.6274236,C,1.6759077,4.1810686e+02,9.4373676e-01,8.7682572e-01
47.2253968,B,1.7251492,5.8144116e+02,7.6772944e-01,7.3978787e-01
45.5388033,B,3.3874735,7.8395812e+02,3.4062260e-02,4.5076375e-02
43.8365999,B,5.0896845,4.3726160e+02,1.1184145e-02,6.3230699e-02
47.2148325,B,1.7371862,8.7923065e+01,1.2159427e+00,1.7747551e+00
47.2039063,B,1.7450257,8.4035004e+01,7.4623328e-01,1.2134907e+00
50.5547268,C,1.6135877,6.6646390e+01,9.9885869e-02,2.0442854e-01
47.2850375,B,1.6561180,6.1811584e+01,3.8166959e-01,1.1523553e+00
43.8366010,B,5.1191930,4.3728058e+02,1.1220718e-02,6.3232174e-02
50.5750615,C,1.6338860,5.3103853e+01,1.9650777e-01,6.8281983e-01
50.7077119,C,1.7664870,4.9532152e+01,3.6088740e-01,6.8421163e-01
50.7360160,C,1.7936015,4.6927158e+01,6.7883076e-01,6.7281896e-01
42.1357144,B,6.7900196,2.4220947e+02,9.9415092e-02,8.1095972e-02
50.7592277,C,1.8178291,3.7408813e+01,5.0847743e-01,6.6454573e-01
37.0267563,B,11.9144058,3.4168750e+01,4.5920708e-02,1.5645193e-01
50.6863116,C,1.7573831,7.3576678e+01,1.9890519e-01,1.2948344e+00
47.4298027,B,1.5109725,3.3264398e+01,5.8088511e-01,4.7692636e-01
