Freqs,Regions,Freq in region A,Delta chi2,Sigma phi(4),Sigma phi(jack)
1.4138680,A,1.4138637,2.3603502e+06,5.5332685e-03,7.4959685e-03
0.9830947,A,0.9830914,3.7926447e+05,6.6789377e-03,1.2940386e-02
2.6658079,A,2.6658023,3.5460706e+05,7.6675775e-03,6.0561584e-03
1.5095319,A,1.5095285,1.6650935e+05,4.2357322e-02,4.5745037e-02
2.8890148,A,2.8890184,5.7896043e+04,2.0409104e-02,2.2372707e-02
1.4234506,A,1.4234555,5.6681810e+04,2.0825627e-01,2.5203428e-01
3.7997295,A,3.7997240,4.3774151e+04,1.2310607e-02,1.2091420e-02
1.1473436,A,1.1473511,3.1856655e+04,3.6553422e-02,5.4134324e-02
1.4992076,A,1.4992133,2.4933835e+04,2.7058483e-02,1.2733454e-01
0.9574519,A,0.9574526,2.0256445e+04,6.1079017e-02,1.1723749e-01
1.0717407,A,1.0717350,1.9669401e+04,2.8817712e-02,5.1095918e-02
1.4717183,A,1.4717240,1.8275943e+04,3.9973955e-02,5.8390825e-02
2.9500249,A,2.9500239,1.6728216e+04,3.0081570e-02,3.5294684e-02
1.3622970,A,1.3622990,1.6827273e+04,4.6649110e-02,1.0046551e-01
1.1757778,A,1.1757672,1.4278944e+04,2.0949918e-01,2.0702715e-01
1.8777650,A,1.8777677,1.3411534e+04,8.0433918e-02,6.8978545e-02
3.1460978,A,3.1460996,1.2843129e+04,1.5823765e-02,3.2174542e-02
1.5673682,A,1.5673738,1.3337386e+04,2.8485634e-02,7.1778781e-02
0.7981361,A,0.7981310,8.9842654e+03,2.1378555e-02,7.2621832e-02
1.4485438,A,1.4485532,8.7472164e+03,1.4520209e-01,1.2688632e-01
2.8166277,A,2.8166285,8.9877167e+03,4.5754583e-02,4.2552362e-02
1.2524068,A,1.2524039,8.0794666e+03,6.6474813e-02,1.0766212e-01
2.3507573,A,2.3507549,8.3530143e+03,1.2979871e-01,1.2894493e-01
4.3985569,A,4.3985556,7.3337057e+03,1.8488098e-02,1.4001571e-02
