Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
0.8880162,A,0.8880249,3.6743920e+03,8.0001033e+03,3.5321778e-05,-5.5270901e-04,1.8075774e-01,3.5698612e-02,9.6880638e-02
1.7748384,A,1.7748401,3.8653256e+03,1.2493541e+03,-3.3591066e-04,-5.8403705e-05,1.1824059e-01,1.3560864e-01,1.4381360e-01
0.8721582,A,0.8721760,3.5749223e+03,2.5084381e+02,5.8611530e-04,-2.9682303e-04,2.5651661e-01,3.6592001e-01,4.0181132e-01
48.0351488,B,0.9039414,4.0162696e+03,2.1770801e+02,1.9515806e-04,-1.1313933e-04,9.3386825e-02,1.8956220e-01,2.5133511e-01
49.7002103,C,0.7611466,2.7273796e+03,1.4770410e+02,4.1788212e-04,-1.5333020e-03,4.0366554e-01,1.7429512e-01,2.2937258e-01
49.5909568,C,0.6518534,3.0543610e+03,1.5727979e+02,6.4870494e-05,-1.6668967e-03,3.6452567e-01,1.1760768e-01,1.9271439e-01
0.7513129,A,0.7513148,3.0342194e+03,1.4101519e+02,-2.3577453e-04,-1.5362429e-03,3.7938318e-01,1.2098675e-01,1.7920207e-01
49.5139448,C,0.5749158,2.5239364e+03,1.5355029e+02,1.2580581e-04,-1.6813496e-03,3.3618253e-01,6.8935169e-02,1.7555374e-01
48.2967306,B,0.6423590,3.0216004e+03,1.1722827e+02,3.3195630e-04,-1.2287033e-03,2.6702786e-01,1.7791120e-01,1.9473551e-01
0.7413973,A,0.7413988,3.4925299e+03,1.1625797e+02,-4.4900581e-04,-1.7548949e-03,3.8078618e-01,1.2374565e-01,2.4145570e-01
50.1102329,C,1.1712153,2.2991062e+03,1.2351953e+02,-1.2069783e-04,-2.1493295e-03,4.6973384e-01,3.5637023e-02,1.4726080e-01
49.9045269,C,0.9653660,2.4003148e+03,1.0777710e+02,2.4849294e-04,-1.6288616e-03,4.1920484e-01,1.2876834e-01,2.1796777e-01
49.6070546,C,0.6679581,2.8234912e+03,1.0252490e+02,7.0032565e-04,-1.2075327e-03,2.8775665e-01,3.4370867e-01,3.9538146e-01
0.6204773,A,0.6204619,2.5382641e+03,1.0422428e+02,1.1368560e-04,-1.5158664e-03,4.9032840e-01,8.8631606e-02,1.5395740e-01
49.5390707,C,0.5999760,4.1583212e+03,1.2474170e+02,-1.4661118e-04,-7.2393238e-04,2.1757637e-01,5.7050418e-02,2.3339065e-01
0.9444902,A,0.9444864,2.6251598e+03,9.9522036e+01,3.3799070e-04,-1.2981070e-03,3.2669245e-01,1.0432661e-01,2.9407877e-01
50.0032834,C,1.0642054,3.0706619e+03,8.6404297e+01,1.7204207e-04,-1.4575878e-03,4.1835827e-01,1.0013461e-01,1.5669609e-01
49.6182605,C,0.6792164,2.0590819e+03,1.2893555e+02,-1.0737664e-04,-1.8130482e-03,4.6849155e-01,1.4727435e-01,1.7790955e-01
0.8547212,A,0.8547181,2.9299856e+03,9.5546311e+01,2.5453835e-04,-1.2266359e-03,3.4871564e-01,6.6748868e-02,2.9199676e-01
48.1638583,B,0.7743144,3.2585126e+03,1.0531470e+02,-6.8060248e-04,-1.6438417e-03,3.2300498e-01,2.5722003e-01,2.1914200e-01
47.9555370,B,0.9835095,2.9823786e+03,9.5142822e+01,-9.3295852e-05,-9.3674305e-04,2.4938018e-01,7.7836887e-02,3.4178829e-01
0.5849023,A,0.5849062,3.3655006e+03,9.7995451e+01,3.4579052e-05,-2.0329788e-03,5.6532312e-01,6.7809882e-02,1.2189609e-01
48.1401756,B,0.7990104,3.8130586e+03,9.7074951e+01,-1.5381546e-05,-2.7921437e-04,1.4075399e-01,2.9555104e-02,2.1158482e-01
0.5176850,A,0.5176970,3.4435824e+03,8.7800912e+01,4.6031128e-05,-1.4559587e-03,2.9681487e-01,1.2653959e-01,2.5571152e-01
