Freqs,Regions,Freq in region A,Delta chi2,Sigma phi(4),Sigma phi(jack)
0.6500499,A,0.6500524,8.5439929e+08,3.3623803e-03,2.9598279e-03
0.8357833,A,0.8357769,6.6022903e+08,5.7341689e-03,5.2874072e-03
1.1143672,A,1.1143622,3.7369247e+08,1.5561069e-02,1.5720083e-02
1.3001023,A,1.3001067,3.8821149e+08,3.6540700e-03,5.9571979e-03
1.0215197,A,1.0215261,3.1968854e+08,1.4856555e-02,1.6273341e-02
1.4858362,A,1.4858398,2.6056025e+08,3.9110503e-03,7.8111084e-03
0.9286327,A,0.9286372,2.0415370e+08,2.6979939e-02,2.8197832e-02
1.6715689,A,1.6715638,1.0827105e+08,1.2860280e-02,1.5130672e-02
0.5572072,A,0.5572035,1.1051607e+08,4.3978607e-02,4.8354994e-02
1.7644158,A,1.7644220,8.6457297e+07,1.9922770e-02,2.3730187e-02
1.2072548,A,1.2072565,7.0445156e+07,3.7061816e-02,3.9295756e-02
1.9501504,A,1.9501471,7.0833235e+07,1.1478914e-02,1.6597364e-02
1.5786791,A,1.5786783,5.0120130e+07,3.1058785e-02,3.8185211e-02
0.7429020,A,0.7429037,4.0303901e+07,4.7604725e-02,5.0161265e-02
2.1358857,A,2.1358902,3.1560885e+07,5.8309585e-03,2.1318043e-02
3.4359849,A,3.4359907,2.5119116e+07,1.2193702e-02,1.1127678e-02
3.6217139,A,3.6217117,2.1110362e+07,6.2443746e-03,8.0158338e-03
3.2502547,A,3.2502508,1.9199222e+07,1.6414183e-02,1.2467946e-02
1.8573059,A,1.8573109,2.0049397e+07,3.8566793e-02,4.1508492e-02
3.9003040,A,3.9003025,1.6621138e+07,1.3162952e-02,1.2388795e-02
4.0860359,A,4.0860311,1.6049722e+07,1.1336771e-02,1.0508617e-02
3.0645291,A,3.0645234,9.8972021e+06,1.8080250e-02,1.8378715e-02
3.7145749,A,3.7145809,1.0552030e+07,1.8441352e-02,1.4975379e-02
2.9716655,A,2.9716623,1.0002400e+07,1.6100683e-02,2.4717966e-02
