Freqs,Regions,Freq in region A,Delta chi2,Sigma phi(4),Sigma phi(jack)
9.7241694,A,9.7241636,9.8440360e+07,1.1858264e-03,1.4974492e-03
3.2576011,A,3.2576060,1.5083228e+07,4.5472132e-03,4.6563452e-03
5.9015729,A,5.9015697,7.5582008e+06,2.5790163e-03,5.2324688e-03
3.8191443,A,3.8191433,5.0736458e+06,9.0437351e-03,1.1577313e-02
2.9579710,A,2.9579690,5.0358368e+06,1.0041624e-02,1.4724914e-02
3.6216244,A,3.6216316,4.6045656e+06,1.1512998e-02,1.0006542e-02
3.4716549,A,3.4716505,3.5465052e+06,2.1424728e-02,1.7966610e-02
6.3071562,A,6.3071632,2.3862619e+06,5.4944653e-03,1.2933172e-02
4.3883934,A,4.3883878,1.5085027e+06,1.0016565e-02,1.5219967e-02
12.7417765,A,12.7417707,1.1004445e+06,1.1686028e-01,1.1223766e-01
7.3738877,A,7.3738807,1.1472067e+06,1.9231426e-02,1.9500604e-02
4.9681578,A,4.9681634,1.0784162e+06,3.9787626e-02,3.2170462e-02
6.0159091,A,6.0159113,7.3560706e+05,1.7108897e-02,3.8133795e-02
3.3562391,A,3.3562401,6.1560157e+05,5.4499870e-02,5.0794023e-02
4.0744869,A,4.0744826,6.2675011e+05,1.6601990e-02,1.7665662e-02
8.0037044,A,8.0037111,5.9094269e+05,8.6286061e-03,1.2788703e-02
7.1695934,A,7.1695896,5.2971375e+05,7.9873889e-03,1.2412279e-02
11.3051958,A,11.3051993,5.2809994e+05,2.7147649e-02,3.8205364e-02
6.6701143,A,6.6701194,4.9572956e+05,2.8360948e-02,4.3133735e-02
9.7374681,A,9.7374719,6.7397025e+05,1.3540195e-01,2.5740444e-01
9.7108814,A,9.7108939,6.6120538e+05,1.1402543e-01,2.3849768e-01
9.1845517,A,9.1845538,4.3153319e+05,3.1611155e-02,2.5893451e-02
5.3654013,A,5.3653984,3.9995906e+05,3.6823793e-02,3.6779179e-02
17.9174677,A,17.9174622,3.9928738e+05,1.3738993e-02,1.2422149e-02
